Key,Translation,Version,Comment (context for translators)
attracted.to,,,"For showing what gender the being is attracted to (i.e. ""Attracted To -> Female"")"
audio.amb.cutoff.tip,,,
audio.fx.cutoff.tip,,,
audio.max.silence,Stilte tussen nummers: {0},,
audio.max.silence.tip,Pas de stilteperiode tussen muzieknummers aan.,,
audio.music.cutoff.tip,,,
audio.ui.hover,,,
auto,Auto,,"short for ""Automatic"", could be used on a narrow button that toggles between automatic and some other (i.e. manual) setting"
auto.clean,Auto Proper,,
auto.clean.info,"Indien Auto Proper geactiveerd is, zullen werkers dit apparaat automatisch poetsen als het vuild wordt.",,
auto.close,Auto Sluiten,,
auto.harvest,Auto Oogsten,,
auto.haul,Auto Ophalen,,
auto.haul.info,,,
auto.refill.amount,,,
auto.refill.amount.help,,2022-06-27,
auto.report.consent,,,
auto.report.consent.info,,,
auto.reporting,,,
auto.reporting.tip,,,
auto.save.on.exit,Automatisch bewaren bij verlaten van spel,,
auto.save.periodic,,,
autoclean.amount,,,
autoclean.disabled,,,
autoclean.dust.amount,,,
autoclean.dust.tooltip,,,
autoclean.enabled,,,
autoclean.interval.minutes,,,
autosave,,,
autosave.short,A,,
autosaving,,,
autoscale.on,,,
autoscale.on.why,,,
available.count,In bezit: {0},2022-12-22,Tells how many items of that type are owned by the player. {0} is a number
available.materials,Inventaris,2022-06-17,
available.materials.none,Geen materialen beschikbaar!,,
available.memory,Beschikbaar geheugen: {0}EB,,
available.storage,Beschikbare opslag: {0}ZB,,
available.tasks,Openstaande Taken,,
basic,Basis,,"Opposite of ""Advanced"". For now only used in life support option choice (Advanced / Basic)"
battery.charge,Opladen Batterij,,
battery.charge.bar,Lading: {0},2022-07-12,
battery.charge.rate,Laadsnelheid,,The amount of electricity the battery draws when charging (i.e. 50kW)
battery.discharge.rate,Ontlaadsnelheid,,The amount of electricity the battery can produce when discharging (i.e. 100kW)
battery.discharged,Batterij ontladen,,
battery.info,Batterij: {0},,
battery.mode,Modus: {0},,
battery.state,Status,,
battery.state.Charging,Opladen,,
battery.state.Discharging,Ontladen,,
battery.state.Idle,Stationair,,
battery.ttd,Tijd Tot Onlading,,
battery.ttd.tip,Tijd tot volledige ontlading vanaf de huidige lading bij een maximale ontladingssnelheid van {0},,
beautiful.surroundings,Mooie omgeving,,
being.can.reach,{0} kan gaan naar {1},,"Used to show result of ""walkability"" check for a selected being. {0} will be the name, {1} will be a coordinate. (John can go to [12:13])"
being.cannot.reach,{0} kan niet gaan naar {1},,"Just like above, but when the walk is not possible (John cannot go to [12:13])"
being.died,{0} is overleden,,
being.no.longer.available,Wezen is niet langer beschikbaar,,
being.taking.damage,Ontving {0} schade,,"{0} will be damage type, i.e. ""Took Cold Damage"""
being.thinks.safe,{0} denkt dat {1} veilig is,,"For a tooltip that shows if selected location is safe to be in. {0} is name, {1} is coordinate. Example: ""John thinks [123:324] is safe"""
being.thinks.unsafe,{0} denkt dat {1} onveilig is!,,"For a tooltip that shows if selected location is not safe to be in. {0} is name, {1} is coordinate. Example: ""John thinks [123:324] is not safe!"""
being.woke.up,{0} werd wakker uit stasis,2022-05-17,
beings,Wezens,,
beings.carrier01,Transport-drone,,
beings.carrier01.desc,Een wendbare vliegende drone die geschikt is voor eenvoudige transport- en onderhoudstaken.,,
beings.cat01,Kat,,
beings.cat01.desc,"Een klein, gedomesticeerd, vleesetend zoogdier met een zachte vacht, een korte snuit en intrekbare klauwen. Het wordt veel gehouden als huisdier of voor het vangen van muizen, en er zijn veel rassen ontwikkeld.",2022-09-12,
beings.cleaningbot01,Poets-bot,,
beings.cleaningbot01.desc,Een slimme robotstofzuiger met maar één taak: de vloeren schoonmaken.,,
beings.crawler01,Crawler,,
beings.crawler01.desc,Drones zijn snel en kunnen in open ruimtes vliegen. Ze kunnen niet veel gewicht dragen en zijn niet in staat tot geavanceerde taken. Ze hebben een laadstation nodig om op te laden. Ze worden traag en inefficiënt wanneer de energie bijna op is. Je kunt ze maken met een Assemblagemachine.,,
beings.dog01,Hond,,
beings.dog01.desc,"Een gedomesticeerd vleesetend zoogdier dat doorgaans een lange snuit, een scherp reukvermogen, niet-intrekbare klauwen en een blaffende, huilende of jammerende stem heeft.",2022-09-12,
beings.drone01,Bouw-drone,,
beings.drone01.desc,,,
beings.human01,Mens,,
beings.human01.desc,Iemand zoals jij,,
beings.robot01,,,
beings.robot01.desc,,2022-11-13,
beings.sentry01,,,
beings.sentry01.desc,,,
beta.wave.sync.bar,,,
biowaste.accumulation,,,
biowaste.amount,,,
biowaste.amount.bar,,,
biowaste.amount.warning,,,
birth.date,Geboortedatum,,
blocked.door,Geblokkeerde deur,,"Displayed in event panel when there is a door that is blocked by some device, preventing the door from being used"
bog.opt.half,Half,,
bomb.arm,,,
bomb.armed,Explosief: Gewapend,,
bomb.controls,,,
bomb.detonate.now,,,
bomb.disarm,,,
bomb.unarmed,Explosief: Ongewapend,,
bored,Verveeld,,
brain.stat.CanCompromiseHullIntegrity,,,
brain.stat.CanCompromiseSafety,,,
brain.stat.Completed,,,
brain.stat.CompletedStreak,,,
brain.stat.Failed,,,
brain.stat.FailedStreak,,,
brain.stat.JobPriority0,,,
brain.stat.LastEvalTime,,,
brain.stat.LastFailedAd,,,
brain.stat.LastSuccessfulAd,,,
brain.stat.NoNeed,,,One of the statistics for reasons why worker did not do some tasks. This is for types of tasks where worker needs are evaluated. I.e. robot did not recharge because the battery was full -> no need
brain.stat.NoSkill,,,
brain.stat.Reluctant,,,
brain.stat.Total,,,
brain.stat.UnableToFly,,,
brain.stat.UnreachableLoc,,,
brain.stat.UnreachableLocMem,,,
brain.stat.UnreachableMats,,,
brain.stat.Unsafe,,,
brain.stat.Workable,,,
breach.capsule.incoming,,,
breakdown.BreakdownDeconstruct,,,
breakdown.BreakdownDeconstruct.desc,,,
breakdown.BreakdownInsanity,,,
breakdown.BreakdownInsanity.desc,,,
breakdown.BreakdownRoamAround,,,
breakdown.BreakdownRoamAround.desc,,,
breakdown.BreakdownSpaceDiarrhea,,,
breakdown.BreakdownSpaceDiarrhea.desc,,,
breakdown.BreakdownStartFire,,,
breakdown.BreakdownStartFire.desc,,,
breakdown.CrawlerAttached,,,
breakdown.CrawlerAttached.desc,,,
breakdown.Deconstruct,,,
brew,Brouw,,"Action verb. Used on a button that brews a drink (coffee, beer, etc). Should be short if possible"
brewing.bar,Brouwen: {0},,"Displayed in a tooltip of a machine that brews drinks. Shows what exactly is brewing. {0} will be the drink name, i.e. ""Brewing: Coffee"""
bridge.controls,,,
build.a.copy,Bouw een Kopie,,
build.connector,,,
bullet,Kogel,,
bullet.target,Doel: {0},,
buy,Kopen,,
call.back,Expeditie terug roepen,,
calories,Calorieën,,
cancel,Annuleer,,
cancel.drag.dist.px,Sleepafstand genegeerd: {0} pixels,,
cancel.task,Annuleer Taak,,
cannot.be.empty,,,
cannot.build.floor.not.constructed,,,
cannot.build.floor.not.constructed.info,,,
cannot.change.lock.state,,,
cannot.create.template,,,
cannot.enter.no.tech,,,
cannot.enter.space.object.nearby,,,
cannot.enter.while.moving,,,
cannot.reach.position,,,
cannot.save.gen,,,
carbohydrates,,,
carbon.buildup,,,
carbon.buildup.help,,,
change,,,
change.color,,,
change.target.material,,,
changelog,,,
charge.time.left,,,Label of the progress bar that shows how long a device (i.e. a Force Field) will have to charge to get to 100%
charging,,,
chart,Grafiek,,Text on a button that toggles display of a chart (i.e. electricity graph). Should be short if possible.
chasing.target,,,"{0} will be the target (person) name (i.e. ""Chasing John"")"
choose.color,,,
clean.biowaste,,,
clean.dust,,,
clean.floors,,,
clean.now,,,
clean.priority,,,
clean.solar.panel,,,
cleaning.bot,,,A robot that cleans floors
cleaning.floors,,,Displayed when a person or robot is cleaning floors (action).
cleaning.ocd,,,"Name of a human trait, which makes someone become obsessive about cleaning. OCD is short for Obsessive Compulsive Disorder."
clear.all,Wis Alles,,
clear.history,Wis Geschiedenis,,
click.input.to.rebind,,,"A label displayed when a change in keyboard or controller bindings is being initiated. You want to rebind a shortcut to a different key, or change the controller stick that handles camera pan, you click on existing binding and this message is displayed while the game waits for you to press a button or move a stick, etc. It doesn't say ""Press a button"" because it may not always be a button (gamepad stick is a small joystick, etc)"
click.to.bind,,,
clipboard.is.empty,,,
clone,Kloon,,
clone.desc,,,
cloning.bar,Klonen: {0},,"A label for the progress bar of a cloning device. {0} is what the device is currently cloning. I.e. ""Cloning: Human"""
close,Sluiten,,
close.floor.vent,Sluit Vloer Ontluchting,,
close.starmap,Sluit Sterrenkaart,,
close.vent,Sluit Ontluchting,,
codex,Codex,,
codex.blueprints,Blauwdrukken,,
codex.blueprints.mode.All,,,
codex.blueprints.mode.Locked,,,
codex.blueprints.mode.Unlocked,,,
codex.entry,,,
codex.equipment,,,
codex.factions,,,
codex.m.basebuilding,,,
codex.m.basebuilding.buildacopy,,,
codex.m.basebuilding.buildacopy.desc,,,
codex.m.basebuilding.devicewear,,,
codex.m.basebuilding.devicewear.desc,,2023-08-29,
codex.m.basebuilding.relocatingobjects,,,
codex.m.basebuilding.teleporters,,,
codex.m.basebuilding.winching,,,
codex.m.basebuilding.winching.desc,,,
codex.m.bigquestions,,,
codex.m.bigquestions.endgoal,,,
codex.m.bigquestions.endgoal.desc,,2022-04-13,
codex.m.bigquestions.gameover,,,
codex.m.bigquestions.goodvsevil,,,
codex.m.bigquestions.goodvsevil.desc,,,
codex.m.bigquestions.reversingupload,,,
codex.m.bigquestions.reversingupload.desc,,,
codex.m.bigquestions.whatami,,,
codex.m.bigquestions.whatami.desc,,,
codex.m.colonists,,,
codex.m.colonists.attachments,,,
codex.m.colonists.attachments.desc,,,
codex.m.colonists.breakdowns,,,
codex.m.colonists.cloning,Kolonisten Klonen,,
codex.m.colonists.cloning.desc,"Je kunt een Kloon Capsule bouwen en nieuwe kolonisten laten groeien vanuit ruwe materialen, zoals Proteïnen en Water. Je kunt zelfs kiezen welke soorten je wilt laten groeien. Mensen, dieren en zelfs Crawlers. Als het organisch is, kun je het klonen.",,
codex.m.colonists.death,Dood van een Kolonist,,
codex.m.colonists.death.desc,"Het leven in de ruimte is wreed en de dood is vaak onvermijdelijk. Je kolonie zal echter vanzelf regenereren doordat nieuwe kolonisten ontwaken uit hun cryoslaap in de Stasis Kamers of zich op andere manieren bij je kolonie voegen.<br><br>Je kunt de doodsoorzaak vaststellen door een dood wezen te selecteren en de informatie in het informatiepaneel te bekijken.<br><br>Dode kolonisten kunnen worden verwerkt in de Nutriënt Trekker, waardoor essentiële materialen worden verkregen die nodig zijn voor het overleven van de levenden.",,
codex.m.colonists.mindcontrol,,,
codex.m.colonists.mindcontrol.desc,,,
codex.m.colonists.mood,,,
codex.m.colonists.mood.desc,,,
codex.m.colonists.stasiswakeups,,,
codex.m.colonists.stasiswakeups.desc,,2023-08-29,
codex.m.combat,,,
codex.m.combat.breachcapsules,,,
codex.m.combat.breachcapsules.desc,,,
codex.m.combat.controllingunits,,,
codex.m.combat.controllingunits.desc,,,
codex.m.combat.explosives,Explosieven en Bommen,,
codex.m.combat.explosives.desc,,,
codex.m.combat.raids,Invallen,,
codex.m.combat.raids.desc,Soms kunnen piraten uw kolonie aanvallen. In een dergelijk evenement zal uw kolonie in een gevechtsstatus wisselen. Gebruik het <b>{0}</b> overzicht om de situatie te evalueren.<br><br>Versterk uw kolonie tegen deze invallen met wapen en defensieve apparaten.,2023-08-29,
codex.m.combat.theft,Diefstal,,
codex.m.combat.theft.desc,Overvallers proberen soms je waardevolle spullen te stelen en meenemen naar hun vluchtvoertuig. In sommige gevallen kunnen ze zelfs een van je shuttles stelen.,,
codex.m.economy,Economie en Handel,,
codex.m.economy.miningupgrades,,,
codex.m.economy.miningupgrades.desc,,2023-08-29,
codex.m.economy.starcreds,,,
codex.m.economy.starcreds.desc,,,
codex.m.economy.stockmarket,,,
codex.m.economy.stockmarket.desc,,2023-08-29,
codex.m.economy.trading,,,
codex.m.economy.trading.desc,,,
codex.m.electricity,,,
codex.m.electricity.autoconnection,,,
codex.m.electricity.autoconnection.desc,,,
codex.m.electricity.consumptionpriority,,,
codex.m.electricity.consumptionpriority.desc,,,
codex.m.electricity.damagedconnectors,,,
codex.m.electricity.damagedconnectors.desc,,,
codex.m.electricity.gridredundancy,,,
codex.m.electricity.gridredundancy.desc,,,
codex.m.electricity.handlingdeficit,,,
codex.m.electricity.handlingdeficit.desc,,,
codex.m.electricity.managingunreachabledevices,,,
codex.m.electricity.multiplegrids,,,
codex.m.electricity.multiplegrids.desc,,,
codex.m.electricity.productionpriority,,,
codex.m.electricity.productionpriority.desc,,,"empty on purpose, codex linked to el.production.priority.desc"
codex.m.environment,Omgeving,,
codex.m.environment.airtightness,Luchtdichtheid,,
codex.m.environment.airtightness.desc,,2023-08-29,
codex.m.environment.enclosedareas,Afgesloten Ruimtes,,
codex.m.environment.enclosedareas.desc,,,
codex.m.environment.fire,Vuur,,
codex.m.environment.heat,Temperatuur,2023-08-29,
codex.m.environment.heat.desc,,2023-08-29,
codex.m.environment.hullintegrity,,,
codex.m.environment.hullintegrity.desc,,2023-08-29,
codex.m.environment.insulation,,,
codex.m.environment.insulation.desc,,2023-08-29,
codex.m.environment.islands,,,
codex.m.environment.oxygen,Zuurstof,,
